T_start,T_end,temp,mass,player_number,tackle_numb,GP_used,calib_dir,folder
32,57,P2_baseline_1_tackle_1,67.8,2,1,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
22,34,P2_baseline_1_tackle_2,67.8,2,2,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
28,55,P2_baseline_1_tackle_3,67.8,2,3,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
30,55,P2_baseline_1_tackle_4,67.8,2,4,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
18,32,P2_baseline_1_tackle_5,67.8,2,5,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
44,65,P2_baseline_1_tackle_6,67.8,2,6,14,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P2_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
25,37,P26_baseline_2_tackle_1,89.4,26,1,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
23,34,P26_baseline_2_tackle_2,89.4,26,2,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
25,32,P26_baseline_2_tackle_3,89.4,26,3,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
25,50,P26_baseline_2_tackle_4,89.4,26,4,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
30,49,P26_baseline_2_tackle_5,89.4,26,5,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
25,58,P26_baseline_2_tackle_6,89.4,26,6,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P26_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
28,42,P27_baseline_1_tackle_1,95.7,27,1,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P27_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
28,50,P27_baseline_1_tackle_2,95.7,27,2,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P27_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
20,37,P27_baseline_1_tackle_3,95.7,27,3,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P27_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/invalid/
25,47,P27_baseline_1_tackle_4,95.7,27,4,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P27_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
32,52,P27_baseline_1_tackle_5,95.7,27,5,13,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P27_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P2_P29/valid/
