T_start,T_end,temp,mass,player_number,tackle_numb,GP_used,calib_dir,folder,
101,160,P30_baseline_1_tackle_1,82.5,30,1,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
108,193,P30_baseline_1_tackle_2,82.5,30,2,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
94,179,P30_baseline_1_tackle_3,82.5,30,3,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
105,150,P30_baseline_1_tackle_4,82.5,30,4,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
87,172,P30_baseline_1_tackle_5,82.5,30,5,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
90,166,P30_baseline_1_tackle_6,82.5,30,6,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
107,183,P30_baseline_2_tackle_1,82.5,30,1,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
111,198,P30_baseline_2_tackle_2,82.5,30,2,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
121,202,P30_baseline_2_tackle_3,82.5,30,3,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
83,175,P30_baseline_2_tackle_4,82.5,30,4,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
86,163,P30_baseline_2_tackle_5,82.5,30,5,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
83,157,P30_baseline_2_tackle_6,82.5,30,6,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P30_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
65,128,P31_baseline_1_tackle_1,91.05,31,1,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
80,135,P31_baseline_1_tackle_2,91.05,31,2,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
57,128,P31_baseline_1_tackle_3,91.05,31,3,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
66,125,P31_baseline_1_tackle_4,91.05,31,4,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
74,153,P31_baseline_1_tackle_5,91.05,31,5,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
61,155,P31_baseline_1_tackle_6,91.05,31,6,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_1,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,did not run
82,167,P31_baseline_2_tackle_1,91.05,31,1,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
60,113,P31_baseline_2_tackle_2,91.05,31,2,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,
68,125,P31_baseline_2_tackle_3,91.05,31,3,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
43,122,P31_baseline_2_tackle_4,91.05,31,4,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
100,161,P31_baseline_2_tackle_5,91.05,31,5,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/valid/,
67,117,P31_baseline_2_tackle_6,91.05,31,6,134,/home/uct/Analyse_videos/CameraCalibration/Projects/final_calibration_videos/P31_baseline_2,/home/uct/Analyse_videos/Session8_Set2_tackle1-UCT-2019-11-27/last_videos/P30_P37/invalid/,did not run
